,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
569,0,6,0,271,0,2,0
570,0,7,0,271,0,2,1
571,0,8,0,271,0,2,0
572,0,9,0,271,0,4,1
573,0,10,0,271,0,1,0
574,0,11,0,271,0,2,0
575,0,12,0,271,0,2,1
576,0,13,0,271,0,4,0
577,0,14,0,271,0,2,0
578,0,15,0,271,0,2,0
579,0,16,0,271,0,2,0
580,0,17,0,271,0,2,0
581,0,18,0,271,0,2,0
582,0,19,0,271,0,2,0
583,0,20,0,271,0,2,0
584,0,21,0,271,0,2,1
585,0,22,0,271,0,2,0
586,0,23,0,271,0,1,0
587,0,24,0,271,0,2,0
588,0,25,0,271,0,2,0
